YM
C  1                                    ;Chapter number
H  0                                    ;attack frame (0=doesn't attack)
B0 1   11                               ;body
B  12  18                               ;body
B  19  25                               ;body
B  26  37                               ;body
K0 39  44                               ;kill
K  46  51                               ;kill
K  53  58                               ;kill
K  60  65                               ;kill
S0 audio\squeak3.wav                    ;intro sound
Z
F0 rat1\decoy02.smk                     ;name of sprite animation
I  D2                                   ;ID
A0 166 113                              ;x,y ancor points
P0 160 171                              ;palette for detection
W  5                                    ;attack weight
D  100                                  ;points for shooting sprite
H  0                                    ;attack frame (0=doesn't attack)
B0 1   14                               ;body
B  15  17                               ;body
B  18  31                               ;body
K0 33  38                               ;kill
K  40  45                               ;kill
K  47  52                               ;kill
S0 audio\squeak2.wav                    ;intro sound
Z
F0 rat1\decoy03.smk                     ;name of sprite animation
I  D3                                   ;ID
A0 81  116                              ;x,y ancor points
P0 160 171                              ;palette for detection
W  5                                    ;attack weight
D  100                                  ;points for shooting sprite
H  0                                    ;attack frame (0=doesn't attack)
B0 1   9                                ;body
K0 11  16                               ;kill
S0 audio\squeak1.wav                    ;intro sound
Z
F0 rat1\decoy04.smk                     ;name of sprite animation
I  D4                                   ;ID
A0 57  113                              ;x,y ancor points
P0 160 171                              ;palette for detection
W  5                                    ;attack weight
D  100                                  ;points for shooting sprite
H  0                                    ;attack frame (0=doesn't attack)
B0 1   13                               ;body
B  14  17                               ;body
B  18  20                               ;body
B  21  29                               ;body
K0 31  36                               ;kill
K  38  43                               ;kill
K  45  50                               ;kill
K  52  57                               ;kill
S0 audio\squeak5.wav                    ;intro sound
Z
F0 rat1\decoy05.smk                     ;name of sprite animation
I  D5                                   ;ID
A0 206 122                              ;x,y ancor points
P0 160 171                              ;palette for detection
W  5                                    ;attack weight
D  100                                  ;points for shooting sprite
H  0                                    ;attack frame (0=doesn't attack)
B0 1   9                                ;body
K0 11  16                               ;kill
S0 audio\squeak1.wav                    ;intro sound
Z
F0 rat1\decoy06.smk                     ;name of sprite animation
I  D6                                   ;ID
A0 107 112                              ;x,y ancor points
P0 160 171                              ;palette for detection
W  5                                    ;attack weight
D  100                                  ;points for shooting sprite
H  0                                    ;attack frame (0=doesn't attack)
B0 1   12                               ;body
B  13  20                               ;body
B  21  29                               ;body
B  30  37                               ;body
K0 45  50                               ;kill
K  52  57                               ;kill
K  59  64                               ;kill
K  66  71                               ;kill
S0 audio\squeak2.wav                    ;intro sound
Z
F0 rat1\decoy07.smk                     ;name of sprite animation
I  D7                                   ;ID
A0 201 116                              ;x,y ancor points
P0 160 171                              ;palette for detection
W  5                                    ;attack weight
D  100                                  ;points for shooting sprite
H  0                                    ;attack frame (0=doesn't attack)
B0 1   9                                ;body
K0 11  16                               ;kill
S0 audio\squeak3.wav                    ;intro sound
Z
F0 rat1\decoy08.smk                     ;name of sprite animation
I  D8                                   ;ID
A0 57  122                              ;x,y ancor points
P0 192 200                             ;palette for detection
W  5                                    ;attack weight
D  100                                  ;points for shooting sprite
H  0                                    ;attack frame (0=doesn't attack)
B0 1   11                               ;body
B  12  18                               ;body
B  19  25                               ;body
B  26  37                               ;body
K0 39  44                               ;kill
K  46  51                               ;kill
K  53  58                               ;kill
K  60  65                               ;kill
S0 audio\squeak5.wav                    ;intro sound
Z
F0 rat1\decoy09.smk                     ;name of sprite animation
I  D9                                   ;ID
A0 169 113                              ;x,y ancor points
P0 192 200                             ;palette for detection
W  5                                    ;attack weight
D  100                                  ;points for shooting sprite
H  0                                    ;attack frame (0=doesn't attack)
B0 1   13                               ;body
B  14  17                               ;body
B  18  20                               ;body
B  21  29                               ;body
K0 31  36                               ;kill
K  38  43                               ;kill
K  45  50                               ;kill
K  52  57                               ;kill
S0 audio\squeak5.wav                    ;intro sound
Z
F0 rat1\decoy10.smk                     ;name of sprite animation
I  D10                                  ;ID
A0 98  117                              ;x,y ancor points
P0 192 200                             ;palette for detection
W  5                                    ;attack weight
D  100                                  ;points for shooting sprite
H  0                                    ;attack frame (0=doesn't attack)
B0 1   9                                ;body
K0 11  16                               ;kill
S0 audio\squeak2.wav                    ;intro sound
Z
F0 rat1\decoy11.smk                     ;name of sprite animation
I  D11                                  ;ID
A0 81  116                              ;x,y ancor points
P0 192 200                             ;palette for detection
W  5                                    ;attack weight
D  100                                  ;points for shooting sprite
H  0                                    ;attack frame (0=doesn't attack)
B0 1   10                               ;body
B  11  16                               ;body
B  17  22                               ;body
B  23  35                               ;body
K0 37  42                               ;kill
K  44  49                               ;kill
K  51  56                               ;kill
K  58  63                               ;kill
S0 audio\squeak1.wav                    ;intro sound
Z
F0 rat1\decoy12.smk                     ;name of sprite animation
I  D12                                  ;ID
A0 108 112                              ;x,y ancor points
P0 160 171                              ;palette for detection
W  5                                    ;attack weight
D  100                                  ;points for shooting sprite
H  0                                    ;attack frame (0=doesn't attack)
B0 1   12                               ;body
B  13  20                               ;body
B  21  29                               ;body
B  30  37                               ;body
K0 45  50                               ;kill
K  52  57                               ;kill
K  59  64                               ;kill
K  66  71                               ;kill
S0 audio\squeak3.wav                    ;intro sound
Z
F0 rat1\decoy13.smk                     ;name of sprite animation
I  D13                                  ;ID
A0 98  116                              ;x,y ancor points
P0 160 171                              ;palette for detection
W  5                                    ;attack weight
D  100                                  ;points for shooting sprite
H  0                                    ;attack frame (0=doesn't attack)
B0 1   10                               ;body
B  11  16                               ;body
B  17  23                               ;body
B  24  29                               ;body
B  30  37                               ;body
K0 45  50                               ;kill
K  52  57                               ;kill
K  59  64                               ;kill
K  66  71                               ;kill
K  73  78                               ;kill
S0 audio\squeak2.wav                    ;intro sound
Z
X
S 19,R1
     27,D1
     69,D12
     77,R2
    120,D2
    137,R3
    168,D13
    222,R4
    247,D3
    282,D4
    295,R5
    344,D5
    372,D6
    393,R6
    478,R7
    511,D7 
	554,R8
    615,D8
    655,R9
    680,D9
    758,R10
    778,D10
    823,D11
    869,D12
    877,R2
    920,D2
    937,R3
    968,D13
    1022,R4
    1047,D3
    1082,D4
    1095,R5
    1144,D5
    1172,D6
    1193,R6
    1278,R7
    1311,D7
    1354,R8
    1415,D8
    1455,R9
    1480,D9
    1558,R10
    1578,D10
    1623,D11
Z
